source,material,temperature_C,time_h,location_id,x_sample,y_sample,z_sample,sVMFEA_MPa,sHydFEA_MPa,stress_fea_xx_MPa,strain_fea_xx,stress_fea_yy_MPa,strain_fea_yy,stress_fea_zz_MPa,strain_fea_zz,stress_fea_xy_MPa,strain_fea_xy,stress_fea_yz_MPa,strain_fea_yz,stress_fea_xz_MPa,strain_fea_xz
finite_element_interpolated,Type 316H stainless steel,550.0,800.0,1,8.0,0.0,0.0,109.67531967540073,56.10698856209152,54.23117647058824,108.76770588235289,120.34509803921573,521.3616666666669,-6.255308823529398,-268.9207843137255,-0.05684407741012193,-0.7096081437942313,0.0003505020277699174,0.004382061517514524,-0.024349332676370183,-0.3040495297655228
finite_element_interpolated,Type 316H stainless steel,550.0,800.0,2,12.0,0.0,0.0,113.16612891051811,-33.55775945945947,6.038405405405403,175.25297297297297,-108.97027027027029,-543.0454054054055,2.2585864864864846,151.65405405405403,0.02671617678079386,0.3336273599986654,-0.0008124634601379046,-0.010140873265292304,0.0039062156359261635,0.04878552828190952
finite_element_interpolated,Type 316H stainless steel,550.0,800.0,3,8.0,4.0,0.0,71.16567579100978,28.802203277932964,40.93291155560123,137.5594100281206,60.85422537579761,261.9366011453769,-15.38052709759994,-214.03591476004073,-0.025526090195737372,-0.31875349108216955,-0.05295082907908662,-0.6612138657349931,11.17502041312045,139.543264511066
finite_element_interpolated,Type 316H stainless steel,550.0,800.0,4,12.0,4.0,0.0,93.35504063440263,-18.00365725123621,17.93284427284427,185.7440845356635,-77.72138047822261,-411.5041692068009,5.777564451669715,109.83556255503626,0.0043404062999258045,0.05429246359855999,-0.027915972881644206,-0.34855566117032455,13.909032378242902,173.7101429248797
finite_element_interpolated,Type 316H stainless steel,550.0,800.0,5,-4.0,8.0,0.0,84.56180277217888,25.645187678086156,81.84098468367503,405.919944623904,-1.2602387764519742,-112.9544942536313,-3.645182872964599,-127.83857758147096,-0.009247441790139126,-0.1155271002911065,0.01465567189821193,0.18301742002020907,-3.6970490913485836,-46.1665121409893
finite_element_interpolated,Type 316H stainless steel,550.0,800.0,6,0.0,8.0,0.0,84.03543667353304,34.65748199757403,87.48224546155893,404.2071222972465,23.15738501136743,2.585651338831583,-6.667184480204275,-183.64014422650217,-0.018935444569553775,-0.23637094497688954,-0.007275871661497711,-0.09085820477654463,-6.226274825733421,-77.76232955670403
finite_element_interpolated,Type 316H stainless steel,550.0,800.0,7,4.0,8.0,0.0,53.387753594555285,25.81127177780985,41.68826190427089,154.54541923243482,44.319280416297175,170.94961687735866,-8.573726987138507,-159.29950977844683,0.052737435042891495,0.658479235463535,0.03258835365720038,0.40696854946745664,7.848793860716425,98.00520340097478
finite_element_interpolated,Type 316H stainless steel,550.0,800.0,8,8.0,8.0,0.0,48.507236572453614,11.217150913149958,11.077065459623736,23.196579888081388,19.465733716230183,75.57647697209903,3.108653563595953,-26.54919400871355,-0.008121409065160899,-0.10125190764080369,-0.006471413197753883,-0.08089700854410398,26.784584927370897,334.4884156332059
finite_element_interpolated,Type 316H stainless steel,550.0,800.0,9,12.0,8.0,0.0,60.57732611626152,-9.38019206167532,9.820901680531517,99.76426885712691,-38.9708606442968,-204.89675646250905,1.0093827787393221,44.73773586064429,0.0008104461640308395,0.010119811797178094,-0.011408388560816527,-0.14246499906583937,23.389902713416333,292.0670176148735
finite_element_interpolated,Type 316H stainless steel,550.0,800.0,10,-4.0,12.0,0.0,85.78371330480043,-25.162647736925123,-82.20304514015288,-410.15618674918096,2.6210871860211133,119.47385875500547,4.094014743356389,128.66747178740445,-0.0029394484435363204,-0.03670504559975292,0.0018881045564172316,0.02357183670333833,-3.4929781579905352,-43.621012559155446
finite_element_interpolated,Type 316H stainless steel,550.0,800.0,11,0.0,12.0,0.0,92.82024177887936,-26.454887245827063,-88.30811463849237,-442.9896303305756,6.051213510499938,146.1830064861675,2.892239390511244,126.46448511676027,-0.03094597706244226,-0.3863851738273565,0.008796971783716289,0.10985310706277744,-0.0603549258158507,-0.7538199106829048
finite_element_interpolated,Type 316H stainless steel,550.0,800.0,12,4.0,12.0,0.0,84.8380663869076,-17.703623008076836,-72.51454485920104,-380.2234381139489,15.502331368696794,169.32237066142764,3.9013444662737395,96.90159528487229,0.04265239487063155,0.5327071722401446,-0.008435335738545978,-0.10533059388139374,10.599073346430913,132.36871316306488
finite_element_interpolated,Type 316H stainless steel,550.0,200.0,1,8.0,0.0,0.0,118.91853990786326,59.178222222222246,59.532843137254915,129.21882352941174,127.65784313725496,554.6820588235296,-9.656019607843124,-302.80803921568634,-0.06106207970398757,-0.7627590330165436,0.001132482907756558,0.014178254261229595,-0.027789494137862074,-0.34702461441278465
finite_element_interpolated,Type 316H stainless steel,550.0,200.0,2,12.0,0.0,0.0,122.8877133804974,-35.25947747747748,8.272216216216213,196.09351351351347,-117.12972972972975,-586.7283783783785,3.0790810810810787,163.66729729729732,0.029378407809321053,0.3668751842705273,-0.0011952685243383303,-0.014926870890824923,0.004407313110212141,0.054945931438692086
finite_element_interpolated,Type 316H stainless steel,550.0,200.0,3,8.0,4.0,0.0,74.84452193768306,32.61246869521079,46.02331178355553,153.72097740076046,65.64822335784154,276.2678985229683,-13.834129055764723,-219.9876423546558,-0.015312141354461128,-0.19124192103736715,-0.05133707107114589,-0.6410019391751753,12.368595885611782,154.4653253019927
finite_element_interpolated,Type 316H stainless steel,550.0,200.0,4,12.0,4.0,0.0,101.56257976579597,-19.489881731355425,20.07596017069701,205.2317767391452,-84.11504775452146,-445.34663957190276,5.56944238975818,114.63077775519884,0.003371572391722373,0.042208402951327606,-0.0285908064928061,-0.35694349622898297,15.918528415633675,198.7959395109395
finite_element_interpolated,Type 316H stainless steel,550.0,200.0,5,-4.0,8.0,0.0,89.29215118476591,27.352653541945923,86.66266046981781,429.0536829498758,-0.9590878721954864,-118.07609202979759,-3.64561197178456,-134.84530270068336,-0.011448911902506657,-0.14292542351957468,0.011467103957054622,0.14319870669594317,-4.1992595644626105,-52.43888643505395
finite_element_interpolated,Type 316H stainless steel,550.0,200.0,6,0.0,8.0,0.0,87.72373443340229,36.5864475823428,91.23816618989423,419.7695766738808,26.01175403322159,12.499566046862528,-7.490577476087418,-196.68874326658516,-0.02146376359784174,-0.267969848216454,-0.0018914057423377595,-0.023618930706065244,-6.666439517037501,-83.26373971639435
finite_element_interpolated,Type 316H stainless steel,550.0,200.0,7,4.0,8.0,0.0,55.47506882859839,28.89186521760052,43.528899135922124,153.4063405442934,49.70607847504348,191.96494917957284,-6.559381958164057,-159.34248505220899,0.042490863939079936,0.5306642904562963,0.028700452955984793,0.35843713838579094,8.584436135915258,107.20694634399514
finite_element_interpolated,Type 316H stainless steel,550.0,200.0,8,8.0,8.0,0.0,53.31756016187911,11.337462026665099,11.03111629507972,22.420390466262173,20.51838603082189,81.65581866818778,2.462883754093685,-31.07566609297708,-0.006362381195809657,-0.07954991465931774,-0.0008708718686305326,-0.010814284255884599,29.428161505099283,367.50303365427175
